,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,url,view_history,response,question_order,success,timeout,failed_images,failed_audio,failed_video,filename,task,subj_id,label1,label2,mixtureCoeff,id1,id2
0,pavlovia,0,1484,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,,,,,,,,,,,,,,,,,,
1,external-html,1,12147,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,10509.5,consent.html,,,,,,,,,,,,,,,,
2,instructions,2,97061,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,84915.80000007153,,"[{""page_index"":0,""viewing_time"":5713.200000047684},{""page_index"":1,""viewing_time"":3316.2999999523163},{""page_index"":2,""viewing_time"":20183.400000095367},{""page_index"":3,""viewing_time"":10949.899999976158},{""page_index"":4,""viewing_time"":16467.5},{""page_index"":5,""viewing_time"":13216.899999976158},{""page_index"":6,""viewing_time"":5716.600000023842},{""page_index"":7,""viewing_time"":6733.600000023842},{""page_index"":8,""viewing_time"":2616.7999999523163}]",,,,,,,,,,,,,,,
3,survey-multi-choice,3,108295,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,11230.200000047684,,,"{""Q0"":""The most likely category, or categories, of an image and the associated probability of the selected categories."",""Q1"":""100 crowdsourced workers.""}","[0,1]",,,,,,,,,,,,,
4,instructions,4,110277,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,1979.5,,"[{""page_index"":0,""viewing_time"":1978.8999999761581}]",,,,,,,,,,,,,,,
5,preload,5,111953,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,,,,,,True,False,[],[],[],,,,,,,,
6,survey-html-form,6,190645,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,78690.79999995232,,,"{""classSelect"":""mostProbAirplane"",""prob"":""60"",""classSelect2"":""secondProbFrog"",""prob2"":""20"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectHorse"":""1""}",,,,,,,mixed_0.75_Airplane_3497_Ship_8913.png,spec_conf,,Airplane,Ship,0.75,3497.0,8913.0
7,survey-html-form,7,250494,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,59846.0,,,"{""classSelect"":""mostProbHorse"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectCat"":""1""}",,,,,,,mixed_0.5_Horse_3327_Ship_9834.png,spec_conf,,Horse,Ship,0.5,3327.0,9834.0
8,survey-html-form,8,296628,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,46129.70000004768,,,"{""classSelect"":""mostProbShip"",""prob"":""75"",""classSelect2"":""secondProbTruck"",""prob2"":""25"",""improbClassSelectFrog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectDeer"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectHorse"":""1""}",,,,,,,mixed_0.75_Ship_8441_Truck_5521.png,spec_conf,,Ship,Truck,0.75,8441.0,5521.0
9,survey-html-form,9,355726,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,59096.0,,,"{""classSelect"":""mostProbAirplane"",""prob"":""50"",""classSelect2"":""secondProbBird"",""prob2"":""20"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1""}",,,,,,,mixed_0.75_Frog_5446_Ship_2896.png,spec_conf,,Frog,Ship,0.75,5446.0,2896.0
10,survey-html-form,10,403176,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,47445.79999995232,,,"{""classSelect"":""mostProbAutomobile"",""prob"":""90"",""classSelect2"":""secondProbTruck"",""prob2"":""10"",""improbClassSelectFrog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectDeer"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectHorse"":""1""}",,,,,,,mixed_0.75_Automobile_2813_Truck_8727.png,spec_conf,,Automobile,Truck,0.75,2813.0,8727.0
11,survey-html-form,11,442359,71ktrmpcv3we1b7,62a7a6baf839fe2d4207b124,2,39179.70000004768,,,"{""classSelect"":""mostProbCat"",""prob"":""95"",""classSelect2"":""secondProbDog"",""prob2"":""5"",""improbClassSelectFrog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1""}",,,,,,,mixed_0.25_Airplane_3680_Cat_7174.png,spec_conf,,Airplane,Cat,0.25,3680.0,7174.0
