,index,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,url,view_history,response,question_order,success,timeout,failed_images,failed_audio,failed_video,final_value,start_value,task,class_pair,starting_value,filename
0,6,reconstruction,6,295679,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,23103.099999904636,,,,,,,,,,0.6,0.1,select_create,Bird_9624_Deer_9585,0.1,
1,7,reconstruction,7,313633,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,17952.400000095367,,,,,,,,,,0.5,0.1,select_create,Airplane_3497_Ship_8913,0.1,
2,8,reconstruction,8,329993,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,16358.5,,,,,,,,,,0.4,0.1,select_create,Deer_2786_Dog_8202,0.1,
3,9,reconstruction,9,343132,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,13138.299999952316,,,,,,,,,,0.5,0.1,select_create,Airplane_8777_Truck_139,0.1,
4,10,reconstruction,10,358382,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,15248.400000095367,,,,,,,,,,0.4,0.1,select_create,Deer_557_Ship_8226,0.1,
5,11,reconstruction,11,374848,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,16464.299999952316,,,,,,,,,,0.6000000000000001,0.1,select_create,Cat_7807_Deer_4027,0.1,
6,12,reconstruction,12,385520,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,10670.799999952316,,,,,,,,,,0.6000000000000001,0.1,select_create,Cat_3023_Frog_4774,0.1,
7,13,reconstruction,13,398920,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,13398.200000047684,,,,,,,,,,0.6,0.1,select_create,Frog_8963_Truck_1841,0.1,
8,14,reconstruction,14,413424,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,14502.400000095367,,,,,,,,,,0.5,0.1,select_create,Deer_2260_Horse_9855,0.1,
9,15,reconstruction,15,424650,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,11224.200000047684,,,,,,,,,,0.4,0.1,select_create,Dog_8869_Horse_5096,0.1,
10,16,reconstruction,16,432690,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,8038.5,,,,,,,,,,0.5,0.1,select_create,Horse_5096_Truck_9312,0.1,
11,17,reconstruction,17,441478,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,8786.700000047684,,,,,,,,,,0.4,0.1,select_create,Horse_1602_Ship_2527,0.1,
12,18,reconstruction,18,460288,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,18808.29999995232,,,,,,,,,,0.5,0.1,select_create,Automobile_5456_Frog_7606,0.1,
13,19,reconstruction,19,475242,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,14952.600000143051,,,,,,,,,,0.5000000000000001,0.1,select_create,Dog_810_Ship_582,0.1,
14,20,reconstruction,20,492012,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,16768.60000014305,,,,,,,,,,0.5,0.1,select_create,Airplane_9724_Automobile_6577,0.1,
15,21,reconstruction,21,502016,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,10002.5,,,,,,,,,,0.6000000000000001,0.1,select_create,Automobile_887_Bird_8384,0.1,
16,22,reconstruction,22,514345,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12326.699999809263,,,,,,,,,,0.5000000000000001,0.1,select_create,Automobile_3527_Frog_300,0.1,
17,23,reconstruction,23,527103,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12756.5,,,,,,,,,,0.4,0.1,select_create,Dog_6065_Frog_772,0.1,
18,24,reconstruction,24,541605,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,14500.099999904633,,,,,,,,,,0.6,0.1,select_create,Automobile_104_Horse_2652,0.1,
19,25,reconstruction,25,554190,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12584.5,,,,,,,,,,0.6,0.1,select_create,Bird_2977_Truck_626,0.1,
20,26,reconstruction,26,582797,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,28604.79999995232,,,,,,,,,,0.7000000000000001,0.1,select_create,Airplane_7987_Dog_4906,0.1,
21,27,reconstruction,27,625299,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,42500.69999980927,,,,,,,,,,0.4000000000000001,0.1,select_create,Deer_7039_Frog_1452,0.1,
22,28,reconstruction,28,642206,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,16906.5,,,,,,,,,,0.6000000000000001,0.1,select_create,Cat_8420_Deer_5252,0.1,
23,29,reconstruction,29,655554,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,13346.799999952316,,,,,,,,,,0.5,0.1,select_create,Horse_7342_Truck_6795,0.1,
24,30,reconstruction,30,668174,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12617.900000095367,,,,,,,,,,0.5,0.1,select_create,Automobile_887_Bird_8384,0.1,
25,31,reconstruction,31,680994,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12818.299999952316,,,,,,,,,,0.4,0.1,select_create,Bird_5085_Frog_7066,0.1,
26,32,reconstruction,32,693668,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12672.599999904633,,,,,,,,,,0.7000000000000001,0.1,select_create,Cat_9121_Deer_8566,0.1,
27,33,reconstruction,33,704474,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,10804.200000047684,,,,,,,,,,0.4,0.1,select_create,Frog_3124_Ship_7142,0.1,
28,34,reconstruction,34,717504,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,13028.800000190737,,,,,,,,,,0.5,0.1,select_create,Automobile_4948_Frog_4405,0.1,
29,35,reconstruction,35,755038,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,37532.20000004768,,,,,,,,,,0.4,0.1,select_create,Dog_3748_Horse_5690,0.1,
30,36,reconstruction,36,765491,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,10450.200000047684,,,,,,,,,,0.5000000000000001,0.1,rerun_select_create,Cat_7807_Deer_4027,0.1,
31,37,reconstruction,37,778223,o5bv7eyn1ckp7ve,633e12745ad6680bd85cd356,2,12730.5,,,,,,,,,,0.6,0.1,rerun_select_create,Horse_5096_Truck_9312,0.1,
32,45,reconstruction,6,262125,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,47622.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Horse_6044_Ship_7600,0.9,
33,46,reconstruction,7,316328,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,54202.0,,,,,,,,,,0.8,0.9,select_create,Frog_4161_Truck_1439,0.9,
34,47,reconstruction,8,372946,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,56616.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Bird_354_Deer_6507,0.9,
35,48,reconstruction,9,422788,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,49839.0,,,,,,,,,,0.7000000000000001,0.9,select_create,Airplane_2628_Frog_9653,0.9,
36,49,reconstruction,10,442712,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,19924.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Horse_5096_Truck_9312,0.9,
37,50,reconstruction,11,471454,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,28739.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Cat_2422_Truck_6579,0.9,
38,51,reconstruction,12,494330,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,22874.0,,,,,,,,,,0.5,0.9,select_create,Airplane_2589_Cat_6202,0.9,
39,52,reconstruction,13,514439,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,20109.0,,,,,,,,,,0.3000000000000001,0.9,select_create,Frog_2865_Horse_7935,0.9,
40,53,reconstruction,14,530155,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,15714.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Airplane_6069_Horse_578,0.9,
41,54,reconstruction,15,549253,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,19098.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Airplane_8812_Bird_3076,0.9,
42,55,reconstruction,16,561359,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,12104.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Airplane_4270_Deer_849,0.9,
43,56,reconstruction,17,577968,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,16609.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Cat_2175_Dog_8788,0.9,
44,57,reconstruction,18,603900,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,25930.0,,,,,,,,,,0.3000000000000001,0.9,select_create,Automobile_2813_Truck_8727,0.9,
45,58,reconstruction,19,632646,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,28744.0,,,,,,,,,,0.3000000000000001,0.9,select_create,Airplane_6057_Deer_9189,0.9,
46,59,reconstruction,20,669554,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,36906.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Deer_4114_Horse_1119,0.9,
47,60,reconstruction,21,680914,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,11359.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Airplane_258_Truck_744,0.9,
48,61,reconstruction,22,687767,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,6851.0,,,,,,,,,,0.7000000000000001,0.9,select_create,Bird_7508_Frog_7690,0.9,
49,62,reconstruction,23,715084,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,27315.0,,,,,,,,,,0.5,0.9,select_create,Airplane_6491_Frog_8781,0.9,
50,63,reconstruction,24,724239,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,9154.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Bird_1043_Horse_5464,0.9,
51,64,reconstruction,25,741465,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,17224.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Dog_1818_Truck_5938,0.9,
52,65,reconstruction,26,762962,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,21494.0,,,,,,,,,,0.6000000000000001,0.9,select_create,Cat_6705_Frog_783,0.9,
53,66,reconstruction,27,778431,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,15469.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Horse_5558_Ship_7706,0.9,
54,67,reconstruction,28,786563,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,8130.0,,,,,,,,,,0.4000000000000001,0.9,select_create,Cat_9310_Ship_9491,0.9,
55,68,reconstruction,29,799213,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,12649.0,,,,,,,,,,0.5,0.9,select_create,Airplane_2200_Ship_1281,0.9,
56,69,reconstruction,30,810866,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,11651.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Bird_5819_Dog_8776,0.9,
57,70,reconstruction,31,825633,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,14766.0,,,,,,,,,,0.5000000000000001,0.9,select_create,Automobile_7570_Cat_4094,0.9,
58,71,reconstruction,32,838355,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,12721.0,,,,,,,,,,0.4000000000000001,0.9,select_create,Cat_2285_Frog_5513,0.9,
59,72,reconstruction,33,850811,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,12454.0,,,,,,,,,,0.3,0.9,select_create,Automobile_1882_Deer_4227,0.9,
60,73,reconstruction,34,864395,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,13582.0,,,,,,,,,,0.4000000000000001,0.9,select_create,Ship_6691_Truck_5674,0.9,
61,74,reconstruction,35,876729,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,12332.0,,,,,,,,,,0.4000000000000001,0.9,select_create,Dog_2316_Horse_7086,0.9,
62,75,reconstruction,36,899975,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,23244.0,,,,,,,,,,0.7000000000000001,0.9,rerun_select_create,Cat_2422_Truck_6579,0.9,
63,76,reconstruction,37,915632,dw981o0alt3z4bw,633e12745ad6680bd85cd356,5,15657.0,,,,,,,,,,0.4,0.9,rerun_select_create,Airplane_4270_Deer_849,0.9,
64,84,reconstruction,6,269655,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,25589.400000095367,,,,,,,,,,0.6000000000000001,0.1,select_create,Dog_148_Truck_6840,0.1,
65,85,reconstruction,7,285165,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,15507.5,,,,,,,,,,0.6000000000000001,0.1,select_create,Bird_3076_Frog_1394,0.1,
66,86,reconstruction,8,294999,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,9832.300000190737,,,,,,,,,,0.7000000000000001,0.1,select_create,Bird_2774_Ship_5249,0.1,
67,87,reconstruction,9,337391,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,42389.70000004768,,,,,,,,,,0.4,0.1,select_create,Automobile_2838_Horse_2062,0.1,
68,88,reconstruction,10,346341,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,8948.0,,,,,,,,,,0.4,0.1,select_create,Automobile_6832_Frog_347,0.1,
69,89,reconstruction,11,356351,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10008.099999904633,,,,,,,,,,0.8,0.1,select_create,Frog_3349_Horse_1560,0.1,
70,90,reconstruction,12,389037,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,32684.29999995232,,,,,,,,,,0.6000000000000001,0.1,select_create,Frog_5175_Truck_6963,0.1,
71,91,reconstruction,13,401897,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,12858.0,,,,,,,,,,0.6000000000000001,0.1,select_create,Airplane_1596_Frog_3615,0.1,
72,92,reconstruction,14,411577,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,9677.200000047684,,,,,,,,,,0.3,0.1,select_create,Automobile_2813_Truck_8727,0.1,
73,93,reconstruction,15,419129,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,7549.700000047684,,,,,,,,,,0.5,0.1,select_create,Frog_8792_Ship_2921,0.1,
74,94,reconstruction,16,429741,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10609.599999904633,,,,,,,,,,0.5,0.1,select_create,Automobile_2484_Truck_1697,0.1,
75,95,reconstruction,17,437975,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,8232.399999856949,,,,,,,,,,0.3,0.1,select_create,Horse_9444_Truck_853,0.1,
76,96,reconstruction,18,448745,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10768.399999856949,,,,,,,,,,0.6,0.1,select_create,Deer_3559_Horse_5541,0.1,
77,97,reconstruction,19,458501,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,9753.599999904633,,,,,,,,,,0.6,0.1,select_create,Bird_2811_Truck_9303,0.1,
78,98,reconstruction,20,468877,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10374.0,,,,,,,,,,0.4,0.1,select_create,Airplane_9633_Bird_8756,0.1,
79,99,reconstruction,21,480320,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,11439.799999952316,,,,,,,,,,0.7000000000000001,0.1,select_create,Cat_7016_Dog_4860,0.1,
80,100,reconstruction,22,491136,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10814.299999952316,,,,,,,,,,0.7000000000000001,0.1,select_create,Cat_515_Horse_4046,0.1,
81,101,reconstruction,23,499060,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,7922.299999952316,,,,,,,,,,0.5,0.1,select_create,Cat_9722_Horse_60,0.1,
82,102,reconstruction,24,509350,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10287.799999952316,,,,,,,,,,0.4000000000000001,0.1,select_create,Horse_5070_Truck_4595,0.1,
83,103,reconstruction,25,521945,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,12592.300000190737,,,,,,,,,,0.6,0.1,select_create,Dog_9939_Horse_3836,0.1,
84,104,reconstruction,26,532293,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10346.200000047684,,,,,,,,,,0.7,0.1,select_create,Automobile_6493_Frog_8250,0.1,
85,105,reconstruction,27,540339,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,8043.799999952316,,,,,,,,,,0.6,0.1,select_create,Airplane_9196_Ship_5427,0.1,
86,106,reconstruction,28,548711,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,8370.5,,,,,,,,,,0.6,0.1,select_create,Horse_57_Ship_2476,0.1,
87,107,reconstruction,29,563121,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,14407.900000095367,,,,,,,,,,0.5,0.1,select_create,Airplane_6400_Deer_9858,0.1,
88,108,reconstruction,30,573483,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,10360.299999952316,,,,,,,,,,0.7999999999999999,0.1,select_create,Deer_8622_Truck_1104,0.1,
89,109,reconstruction,31,581490,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,8006.299999952316,,,,,,,,,,0.7,0.1,select_create,Airplane_2614_Bird_2566,0.1,
90,110,reconstruction,32,588724,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,7232.099999904633,,,,,,,,,,0.4,0.1,select_create,Bird_1150_Frog_7917,0.1,
91,111,reconstruction,33,598716,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,9989.899999856949,,,,,,,,,,0.1,0.1,select_create,Automobile_894_Ship_80,0.1,
92,112,reconstruction,34,604778,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,6059.799999952316,,,,,,,,,,0.1,0.1,select_create,Automobile_3988_Bird_7348,0.1,
93,113,reconstruction,35,614742,jflksdkwx9u55fc,633e12745ad6680bd85cd356,1,9961.600000143051,,,,,,,,,,0.4,0.1,select_create,Dog_1901_Ship_600,0.1,
