,index,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,url,view_history,response,question_order,success,timeout,failed_images,failed_audio,failed_video,responses,filename,task,subj_id,label1,label2,mixtureCoeff,id1,id2,class_pair
0,6,multiple-slider,6,220951,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,35999.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":26,""confidence"":100}",mixed_0.5_Dog_2205_Frog_6908.png,rate_mixture,,Dog,Frog,0.5,2205.0,6908.0,Dog_2205_Frog_6908.png
1,7,multiple-slider,7,239207,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,18253.19999998808,,,,"[0,1]",,,,,,"{""mixingcoeff"":50,""confidence"":20}",mixed_0.5_Deer_3364_Horse_198.png,rate_mixture,,Deer,Horse,0.5,3364.0,198.0,Deer_3364_Horse_198.png
2,8,multiple-slider,8,254035,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,14822.69999998808,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.1_Airplane_4126_Frog_5936.png,rate_mixture,,Airplane,Frog,0.1,4126.0,5936.0,Airplane_4126_Frog_5936.png
3,9,multiple-slider,9,265619,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,11579.79999998212,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.75_Bird_8095_Deer_9701.png,rate_mixture,,Bird,Deer,0.75,8095.0,9701.0,Bird_8095_Deer_9701.png
4,10,multiple-slider,10,275563,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,9936.90000000596,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Cat_336_Truck_2817.png,rate_mixture,,Cat,Truck,0.25,336.0,2817.0,Cat_336_Truck_2817.png
5,11,multiple-slider,11,292114,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,16548.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":100,""confidence"":100}",mixed_0.25_Cat_453_Horse_4054.png,rate_mixture,,Cat,Horse,0.25,453.0,4054.0,Cat_453_Horse_4054.png
6,12,multiple-slider,12,304035,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,11922.0,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Bird_1108_Horse_3241.png,rate_mixture,,Bird,Horse,0.9,1108.0,3241.0,Bird_1108_Horse_3241.png
7,13,multiple-slider,13,318183,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,14145.30000001192,,,,"[0,1]",,,,,,"{""mixingcoeff"":0,""confidence"":100}",mixed_0.9_Automobile_8238_Horse_5693.png,rate_mixture,,Automobile,Horse,0.9,8238.0,5693.0,Automobile_8238_Horse_5693.png
8,14,multiple-slider,14,333819,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,15633.5,,,,"[0,1]",,,,,,"{""mixingcoeff"":81,""confidence"":100}",mixed_0.1_Bird_6252_Truck_8054.png,rate_mixture,,Bird,Truck,0.1,6252.0,8054.0,Bird_6252_Truck_8054.png
9,15,multiple-slider,15,346854,t3penhne8p144yo,633dba58fdd310c8d2d6d7e5,7,13033.09999999404,,,,"[0,1]",,,,,,"{""mixingcoeff"":77,""confidence"":78}",mixed_0.9_Bird_9039_Dog_2056.png,rate_mixture,,Bird,Dog,0.9,9039.0,2056.0,Bird_9039_Dog_2056.png
