,index,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,url,view_history,response,question_order,success,timeout,failed_images,failed_audio,failed_video,task,class_pair
0,6,survey-html-form,6,119129,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,13717.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_2589_Cat_6202
1,7,survey-html-form,7,129778,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,10646.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Frog_2865_Horse_7935
2,8,survey-html-form,8,136146,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,6365.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Airplane_2200_Ship_1281
3,9,survey-html-form,9,143212,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,7063.0,,,"{""select"":""select0.9""}",,,,,,,select_shuffled,Cat_6705_Frog_783
4,10,survey-html-form,10,147295,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,4081.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Automobile_1882_Deer_4227
5,11,survey-html-form,11,157445,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,10148.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Bird_1043_Horse_5464
6,12,survey-html-form,12,162445,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,4997.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Cat_9310_Ship_9491
7,13,survey-html-form,13,172929,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,10481.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_7570_Cat_4094
8,14,survey-html-form,14,181195,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,8264.0,,,"{""select"":""select0.8""}",,,,,,,select_shuffled,Airplane_2628_Frog_9653
9,15,survey-html-form,15,188229,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,7030.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Horse_5096_Truck_9312
10,16,survey-html-form,16,195312,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,7081.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Dog_2316_Horse_7086
11,17,survey-html-form,17,202663,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,7348.0,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Horse_6044_Ship_7600
12,18,survey-html-form,18,211446,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,8780.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_6491_Frog_8781
13,19,survey-html-form,19,219395,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,7948.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Airplane_258_Truck_744
14,20,survey-html-form,20,224780,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,5382.000000000029,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Ship_6691_Truck_5674
15,21,survey-html-form,21,231596,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,6813.0,,,"{""select"":""select0.8""}",,,,,,,select_shuffled,Frog_4161_Truck_1439
16,22,survey-html-form,22,235330,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,3731.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Horse_5558_Ship_7706
17,23,survey-html-form,23,238830,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,3497.0,,,"{""select"":""select1.0""}",,,,,,,select_shuffled,Bird_7508_Frog_7690
18,24,survey-html-form,24,241446,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2614.000000000029,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Cat_2422_Truck_6579
19,25,survey-html-form,25,243778,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2329.0,,,"{""select"":""select0.1""}",,,,,,,select_shuffled,Dog_1818_Truck_5938
20,26,survey-html-form,26,246447,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2666.0,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Automobile_2813_Truck_8727
21,27,survey-html-form,27,248346,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,1897.0,,,"{""select"":""select0.2""}",,,,,,,select_shuffled,Bird_5819_Dog_8776
22,28,survey-html-form,28,251179,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2830.0,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Airplane_6057_Deer_9189
23,29,survey-html-form,29,253795,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2614.0,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Airplane_6069_Horse_578
24,30,survey-html-form,30,256462,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2663.999999999971,,,"{""select"":""select0.6""}",,,,,,,select_shuffled,Bird_354_Deer_6507
25,31,survey-html-form,31,258912,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2447.0,,,"{""select"":""select0.9""}",,,,,,,select_shuffled,Cat_2285_Frog_5513
26,32,survey-html-form,32,261379,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2464.000000000029,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_8812_Bird_3076
27,33,survey-html-form,33,263914,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2532.0,,,"{""select"":""select0.8""}",,,,,,,select_shuffled,Cat_2175_Dog_8788
28,34,survey-html-form,34,266146,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2229.0,,,"{""select"":""select0.8""}",,,,,,,select_shuffled,Deer_4114_Horse_1119
29,35,survey-html-form,35,269028,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2880.0,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Airplane_4270_Deer_849
30,36,survey-html-form,36,271629,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,2598.0,,,"{""select"":""select0.8""}",,,,,,,rerun_select_shuffled,Bird_1043_Horse_5464
31,37,survey-html-form,37,277380,1j4yz66w4dwly8d,633e13ba656728259b9f46cb,5,5749.0,,,"{""select"":""select0.5""}",,,,,,,rerun_select_shuffled,Dog_2316_Horse_7086
32,45,survey-html-form,6,81660,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,15463.70000000298,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Bird_6925_Frog_1766
33,46,survey-html-form,7,92157,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,10494.80000001192,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Airplane_8935_Cat_8658
34,47,survey-html-form,8,112279,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,20119.70000000298,,,"{""select"":""select0.3""}",,,,,,,select_shuffled,Deer_5888_Dog_6835
35,48,survey-html-form,9,132485,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,20204.70000000298,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Airplane_7115_Horse_4019
36,49,survey-html-form,10,147831,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,15343.20000000298,,,"{""select"":""select0.4""}",,,,,,,select_shuffled,Deer_4399_Dog_4934
37,50,survey-html-form,11,159143,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,11309.90000000596,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_9830_Bird_5118
38,51,survey-html-form,12,170121,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,10976.79999999702,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_5132_Truck_4770
39,52,survey-html-form,13,188965,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,18841.59999999404,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Automobile_9807_Horse_7456
40,53,survey-html-form,14,204121,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,15154.0,,,"{""select"":""select0.5""}",,,,,,,select_shuffled,Bird_2856_Dog_5694
41,54,survey-html-form,15,217638,83vr9fr3zbkvxwq,633e13ba656728259b9f46cb,7,13515.29999999702,,,"{""select"":""select0.7""}",,,,,,,select_shuffled,Deer_1300_Frog_6731
